phase_id,phase_title,status,branch,summary,validation,updated_at
phase-0,建立安全分支与基线,done,feat/geoanchor-optimization,"已创建功能分支；已生成 baseline/quality-before.txt、baseline/google-before.txt、baseline/dns-before.txt；已建立阶段进度记录表。","git ls-files --eol 显示 core shell 脚本工作区为 CRLF；对 mod_google.sh、mod_quality.sh、runner.sh 进行 CRLF 归一化后 bash -n 均通过。","2026-05-21T02:20:00-07:00"
phase-1,热修复与安全限频,done,feat/geoanchor-optimization,"已修复 mod_google.sh 中的 Maps URL；已加入每日 Search quota、BOT_RISK 状态文件与 403/429/CAPTCHA 风控拦截；runner 已在 BOT_RISK 冷却期自动跳过 Google 模块。","归一化 bash -n 通过；Maps URL 定向校验通过；quota 限制、429 触发 BOT_RISK、runner 跳过 Google 的定向自测均通过。","2026-05-21T02:45:00-07:00"
phase-2,Preflight 模块,done,feat/geoanchor-optimization,"已新增 core/preflight.sh；已把 target country/state/city 写入安装配置；runner 已接入 preflight 并在失败时写入 DNS_RISK/UNKNOWN 状态后跳过本轮养护。","归一化 bash -n 通过；preflight 成功 JSON、自定义 DNS_RISK 判定、runner preflight 拦截的定向自测均通过。","2026-05-21T07:40:00-07:00"
phase-3,GeoScore 探针模块,done,feat/geoanchor-optimization,"已新增 core/mod_probe.sh；复用了 Jump、YouTube Premium、YouTube Music 探针，并纳入 DNS、活动 IP 栈、public IP 匹配与解析可用性评分；已写入 state/geo_score_history.jsonl。","归一化 bash -n 通过；GeoScore 正常输出、IPv4/IPv6 分离探测与历史 JSONL 落盘的定向自测均通过。","2026-05-21T07:55:00-07:00"
phase-4,状态机模块,done,feat/geoanchor-optimization,"已新增 core/mod_state.py；实现了状态迁移、`update-from-probe`、`get-state`、`next-action`、quota 计数与 cooldown 处理；安装脚本已接入模块分发。","`python -m py_compile` 通过；CN_LOCKED/HK_DRIFT/TARGET/BOT_RISK 状态迁移、next-action、anchor/search quota 与 cooldown 的定向自测均通过。","2026-05-21T08:10:00-07:00"
phase-5,真实浏览器锚定模块,done,feat/geoanchor-optimization,"已新增 core/mod_anchor_browser.py；支持 Playwright 持久化 profile、locale/timezone/viewport、IPv4/IPv6 profile 分离、状态机配额检查、BOT_RISK 检测与 JSON 日志；install.sh 已接入 Playwright + Chromium 运行时装配。","`python -m py_compile` 通过；install.sh 归一化 bash -n 通过；浏览器模块独立运行、状态机跳过/consume、BOT_RISK 中止的定向自测均通过。","2026-05-21T08:25:00-07:00"
phase-6,Local Trust 模块重构,done,feat/geoanchor-optimization,"已新增 data/trust_profiles/US-CA-Los_Angeles.json 与 core/mod_local_trust.py；按 tier 权重选择 2-4 个本地公共站点，自动过滤 login/signin/checkout/银行/电商等敏感 URL；403/429/WAF 页面只记录并跳过。旧 mod_trust.sh 已兼容转发到新模块。","`python -m py_compile` 通过；install.sh 与 mod_trust.sh 归一化 bash -n 通过；本地 trust 模块 2 站点访问、风险页跳过、敏感 URL 过滤、状态机 skip/consume 的定向自测均通过。","2026-05-21T18:35:00-07:00"
phase-7,Runner v2,done,feat/geoanchor-optimization,"已新增 core/runner_v2.sh，串联 preflight → probe-before → 状态机 → next-action → anchor/local-trust/probe-only/cooldown → probe-after 的闭环调度；install.sh 已切换 systemd、cron 与受限环境调度入口到 runner_v2.sh。","runner_v2.sh 与 install.sh 归一化 bash -n 通过；WSL 定向闭环自测覆盖 DNS_RISK 拦截、BOT_RISK cooldown、CN_LOCKED 恢复锚定、TARGET 降频与 --dry-run，均通过。","2026-05-21T19:20:45-07:00"
phase-8,Telegram 控制面接入,done,feat/geoanchor-optimization,"已新增 core/geoanchor_control.py；agent_daemon 已开放 /status、/score、/preflight、/probe、/anchor、/trust、/cooldown、/resume 控制入口，并优先触发 runner_v2；master/tg_master.sh 已新增对应文本命令与节点控制台按钮，手动动作统一受状态机与本地开关约束。","install.sh、agent_daemon.sh、tg_master.sh 归一化 bash -n 通过；geoanchor_control.py 与提取出的 webhook.py 通过 python3 -m py_compile；WSL 定向自测覆盖状态展示、7 天趋势、preflight/probe、BOT_RISK 与 DNS_RISK 下 anchor 拒绝、TARGET 下 anchor 受理、trust 开关拦截、cooldown/resume 与手动日志落盘，均通过。","2026-05-21T20:14:23-07:00"
phase-9,灰度测试与回滚,done,feat/geoanchor-optimization,"已新增 core/geoanchor_rollout.py，用于记录 3 天灰度观测指标、在 BOT_RISK 后自动施加冷却、并在连续 3 天无改善时切换 GEOANCHOR_ROLLOUT_MODE=conservative；已新增 core/geoanchor_rollback.sh，在回滚时备份 state/profiles、保留日志，并把 systemd/cron/scheduler 的 runner_v2 入口恢复到 runner.sh；runner_v2 已接入 conservative 模式降频。","install.sh、runner_v2.sh、geoanchor_rollback.sh 归一化 bash -n 通过；geoanchor_rollout.py 通过 python3 -m py_compile；WSL 定向自测覆盖灰度快照落盘、3 天无改善切 conservative、BOT_RISK 自动冷却、runner_v2 conservative 降级为 probe_only、以及回滚脚本对 state/profiles 备份与 runner.sh 恢复，均通过。","2026-05-21T20:28:05-07:00"
